mask,n_lesions,mean_lesion_volume,total_volume,mean_radius
P10_T1_MASK_lesion1.nii.gz,7,46.0,322,2.870135093647542
P10_T1_MASK_lesion10.nii.gz,11,108.0909090909091,1189,4.45191909416968
P10_T1_MASK_lesion11.nii.gz,6,155.0,930,5.3918218714573305
P10_T1_MASK_lesion12.nii.gz,9,117.33333333333333,1056,4.749057813349156
P10_T1_MASK_lesion13.nii.gz,12,121.66666666666667,1460,4.9926347192148475
P10_T1_MASK_lesion14.nii.gz,4,55.75,223,3.0569069186624427
P10_T1_MASK_lesion15.nii.gz,8,99.375,795,3.9070526862236488
P10_T1_MASK_lesion16.nii.gz,9,115.55555555555556,1040,4.786698739221314
P10_T1_MASK_lesion17.nii.gz,6,111.0,666,4.3872934794799505
P10_T1_MASK_lesion18.nii.gz,8,121.375,971,4.853361731107753
P10_T1_MASK_lesion19.nii.gz,2,78.5,157,4.391711440400615
P10_T1_MASK_lesion2.nii.gz,7,46.0,322,2.8701350936475416
P10_T1_MASK_lesion20.nii.gz,8,51.0,408,3.285786887886357
P10_T1_MASK_lesion21.nii.gz,7,58.285714285714285,408,3.106077944924647
P10_T1_MASK_lesion22.nii.gz,4,68.0,272,3.75127365044111
P10_T1_MASK_lesion23.nii.gz,3,64.33333333333333,193,3.2652779218606596
P10_T1_MASK_lesion24.nii.gz,4,117.0,468,5.132993036038755
P10_T1_MASK_lesion25.nii.gz,7,70.0,490,4.200039651785004
P10_T1_MASK_lesion26.nii.gz,10,75.7,757,4.263104376999739
P10_T1_MASK_lesion27.nii.gz,9,57.333333333333336,516,3.4205112678276697
P10_T1_MASK_lesion28.nii.gz,9,81.66666666666667,735,4.239178967024709
P10_T1_MASK_lesion29.nii.gz,10,77.4,774,4.06676541992642
P10_T1_MASK_lesion3.nii.gz,6,49.166666666666664,295,3.0240202857751837
P10_T1_MASK_lesion30.nii.gz,10,77.4,774,4.066765419926419
P10_T1_MASK_lesion31.nii.gz,9,69.22222222222223,623,4.026635068915108
P10_T1_MASK_lesion32.nii.gz,1,52.0,52,3.2282499334989665
P10_T1_MASK_lesion33.nii.gz,9,81.22222222222223,731,4.333977836220842
P10_T1_MASK_lesion34.nii.gz,4,90.0,360,4.807379865975278
P10_T1_MASK_lesion35.nii.gz,6,61.833333333333336,371,3.2424109258582754
P10_T1_MASK_lesion4.nii.gz,8,126.125,1009,4.6518492324428555
P10_T1_MASK_lesion5.nii.gz,8,47.625,381,2.9825591517558756
P10_T1_MASK_lesion6.nii.gz,4,35.75,143,2.6333026459011353
P10_T1_MASK_lesion7.nii.gz,10,104.5,1045,4.303421702978339
P10_T1_MASK_lesion8.nii.gz,10,63.9,639,3.4641666569829765
P10_T1_MASK_lesion9.nii.gz,9,77.44444444444444,697,3.860459063001127
P11_T1_MASK_lesion1.nii.gz,2,68.0,136,4.512548269005979
P11_T1_MASK_lesion10.nii.gz,4,380.75,1523,4.930030065447589
P11_T1_MASK_lesion11.nii.gz,2,103.0,206,4.884656364113764
P11_T1_MASK_lesion12.nii.gz,5,328.8,1644,5.085903677631615
P11_T1_MASK_lesion13.nii.gz,4,380.75,1523,4.930030065447589
P11_T1_MASK_lesion14.nii.gz,3,211.0,633,3.6278257814900345
P11_T1_MASK_lesion15.nii.gz,1,44.0,44,2.7892577288027636
P11_T1_MASK_lesion2.nii.gz,4,311.75,1247,7.346346663299024
P11_T1_MASK_lesion3.nii.gz,3,69.66666666666667,209,4.290879392119296
P11_T1_MASK_lesion4.nii.gz,4,311.75,1247,7.346346663299025
P11_T1_MASK_lesion5.nii.gz,2,524.0,1048,9.297127529762331
P11_T1_MASK_lesion6.nii.gz,2,345.5,691,8.418545748061925
P11_T1_MASK_lesion7.nii.gz,1,454.0,454,10.031155255660362
P11_T1_MASK_lesion8.nii.gz,1,261.0,261,11.788066012523636
P11_T1_MASK_lesion9.nii.gz,2,103.0,206,4.884656364113765
P12_T1_MASK_lesion1.nii.gz,4,60.25,241,3.9610047758427234
P12_T1_MASK_lesion10.nii.gz,4,37.5,150,2.59719410978017
P12_T1_MASK_lesion11.nii.gz,4,37.5,150,2.597194109780169
P12_T1_MASK_lesion12.nii.gz,4,37.5,150,2.59719410978017
P12_T1_MASK_lesion13.nii.gz,2,104.0,208,5.630311494728295
P12_T1_MASK_lesion14.nii.gz,1,37.0,37,2.445908615513248
P12_T1_MASK_lesion15.nii.gz,1,156.0,156,9.93171541435131
